Concept	Stability
five	0.9140309551
child	0.8924370117
animal	0.839653924
person	0.823387516
four	0.8009663836
hunger	0.7906522716
rain	0.7727877606
ten	0.7726041045
tongue	0.7709951855
tooth	0.7630477677
three	0.7576288749
bird	0.726502054
goat	0.71937432
name	0.7155582588
fat, oil	0.7153240163
shame	0.7130099796
eye	0.7120063776
house	0.7029526834
drink	0.7001971913
moon	0.6948890117
die	0.6944741886
send	0.687535694
two	0.680567285
elephant	0.6621924276
breast	0.6581800793
dog	0.6534315235
mouth	0.6506266573
head	0.6376001693
water	0.6363713964
sing	0.635434865
bite	0.6325833502
see	0.629464937
snake	0.6264330013
road	0.6262961657
spear	0.6259546988
ear	0.6256993881
tail	0.6192453394
know	0.6183622335
neck	0.6169415864
steal	0.6090043046
salt	0.6089173645
arm	0.6034820382
heart	0.5985468723
leg	0.596165023
tree	0.5955326363
eat	0.5931370224
sand	0.592091436
horn	0.5864561943
fall	0.5840809093
vomit	0.5786949837
liver	0.5772116765
face	0.5770440232
fire	0.5756308632
belly	0.5698586492
sleep	0.5637542435
one	0.5542616546
intestine	0.5510638132
count	0.5491321022
fire-wood	0.547911488
root	0.5461465983
big	0.54380203
night	0.5407231845
nose	0.5400505831
come	0.5368403324
louse	0.5349649299
egg	0.5304113893
walk	0.5253362196
urine	0.5236275735
fish	0.5180576808
iron	0.5127455997
dew	0.5127080309
fly	0.5116388271
give	0.5103994519
war	0.5070057815
woman	0.5030569782
stone	0.5026078823
skin	0.5019641398
knee	0.499856379
burn	0.4988292037
bed	0.4976502546
smoke	0.4956788905
wind	0.4950008813
blood	0.4896849088
ground, soil	0.4864859607
navel	0.4819788338
bone	0.481031159
feather	0.4774136079
hear	0.4698287325
cloud	0.4675358155
ashes	0.4660997624
man	0.4606353926
sun	0.4521386781
bark	0.4515907795
sky	0.4423192952
kill	0.43747688
leaf	0.4253621761
hair	0.4186991735
village	0.4075113996
knife	0.401944062
fingernail	0.3768281685
