Concept	Stability
child	0.905720903
five	0.8330691338
rain	0.8007931486
person	0.7884408646
four	0.7703421029
ten	0.7679377166
tongue	0.7640504748
animal	0.7578277476
hunger	0.7481045451
three	0.7411745167
drink	0.710704162
send	0.7106295574
name	0.7079344788
see	0.7026854209
water	0.6912854859
tooth	0.6895397615
two	0.6835992229
head	0.6830085675
house	0.6802617253
bird	0.6789415469
eye	0.6707469587
dog	0.669988048
ear	0.6689879815
arm	0.6657013041
die	0.6639214227
spear	0.6589650968
goat	0.6524807068
breast	0.6518290562
fat, oil	0.6478946358
elephant	0.64760898
moon	0.644715264
sing	0.6353534633
neck	0.6317575754
heart	0.6259770454
mouth	0.6219115038
road	0.6190374055
bite	0.6158270338
leg	0.6157597011
sleep	0.6104915037
snake	0.6059611504
one	0.605563363
eat	0.6041083709
steal	0.6013919926
face	0.5901040492
sand	0.5840830176
tail	0.5835231212
fall	0.5805574577
belly	0.5693540294
vomit	0.5684209714
know	0.5677533975
urine	0.5677267655
tree	0.5654034943
big	0.5617193654
louse	0.5600672467
walk	0.55965528
come	0.5580558732
count	0.5564632166
fire-wood	0.554759207
night	0.5547426822
fire	0.5546687153
nose	0.5516682401
salt	0.5502119456
give	0.5500658402
horn	0.5478573621
blood	0.5442479913
egg	0.5441903724
intestine	0.5383673134
bed	0.5343901527
liver	0.5285079482
fly	0.524563465
wind	0.5242409882
root	0.5193104968
feather	0.5178227312
skin	0.516890736
fish	0.5147341984
woman	0.514575795
knee	0.5060064307
smoke	0.5003947578
stone	0.4940530678
bone	0.4926582792
iron	0.489669862
navel	0.4896023526
cloud	0.4863045604
ground, soil	0.4857594657
war	0.4835328651
man	0.4778635718
leaf	0.4749640427
burn	0.4686444431
ashes	0.460189816
hear	0.4532378443
sky	0.4497054331
bark	0.443508958
sun	0.4420153457
kill	0.4406770383
fingernail	0.4404923563
village	0.4208891079
knife	0.4166919133
hair	0.4148440798
