	ABSMissong1	AGAMissong2	AOMNgun2	APBMumfu1	BAAMashi4	BKBMashi2	BNMKung2	CENMundabli2	DNMMumfu2	DPNFang13	ECLAbar8	ENBBiya1	FBCBiya8	ICNBiya2	JGYKoshin3	KBMNgun4	KCSKung3	KCYBuu2	KDCAjumbu10	KDVFang1	KEMBuu1	KFKMashi1	KHKFang12	KJSFang2	KMNAjumbu2	LFNMundabli1	MCANgun3	MEAMumfu3	MNJBuu4	MRYKoshin2	NACAbar2	NCCMumfu4	NCMMashi5	NDNMissong5	NEAMunken1	NEMAjumbu9	NFKBiya7	NGTMunken3	NINMundabli4	NJNBiya6	NJSKung4	NMAAbar1	NMNMundabli3	NMSMissong4	NNBBuu3	NSFBiya5	NUNMunken4	NVBAbar7	NVIAjumbu1	TELKoshin4	TNTMunken2	WCANgun1	ZKGKung1
ABSMissong1	1.0	0.9509236043978477	0.9473168956286904	0.8569941127575555	0.8917935681437063	0.9089719076693414	0.8883371624232189	0.9036421254575384	0.8796984883890708	0.8593142042828019	0.9510595097566641	0.9248130251777871	0.9333456467834561	0.9151330410894021	0.8849191294947992	0.9375643862596061	0.8785546249139764	0.8435326411585904	0.879611484357275	0.8290878063791518	0.8306885779899713	0.9077775222897354	0.8359190401924548	0.8155732034512057	0.8730289737847933	0.873756301831542	0.9343427492514916	0.8607028789843896	0.8599767538593766	0.850768293871776	0.9625095364653752	0.8727877636581751	0.8892299947361678	0.9556671503773845	0.9346626970387024	0.8903988318689058	0.9300452582724757	0.9395881907962003	0.8813531397957052	0.9511694089509329	0.8571194722241537	0.9410131748366022	0.9112080899534271	0.9352980603070217	0.8580143621848166	0.9567204316159988	0.9368954242510218	0.9475831776615133	0.8817094351024889	0.8905677574864995	0.954553063768485	0.9490628901716341	0.8619073316574
AGAMissong2	0.9509236043978477	1.0	0.9639262345598749	0.8833177406207694	0.9167325932510414	0.9567187607054127	0.9305145626242052	0.9032865021136224	0.9055994100101232	0.8775432042460103	0.969913111835421	0.9716838379101814	0.9669549714123055	0.9752006488417989	0.9053166877505784	0.9279928959962326	0.8776111958471212	0.8935612023756166	0.8864503627421053	0.8431910606570566	0.8697056362790474	0.9604187973540044	0.8546807536441422	0.8337403015991595	0.8822592680538552	0.8767993816954422	0.9035795013317088	0.9023747099180381	0.8770926813865605	0.8787396315682554	0.9692514433494165	0.9149094752174297	0.9291899354895701	0.9645935320645438	0.9774841651712831	0.893118582842289	0.9571001171765714	0.9610110428594439	0.8908498734341267	0.9564640603770321	0.8831406092788753	0.9742347713154539	0.9120640439298073	0.9739166766187236	0.876873174450019	0.9505277622306093	0.9581728446437153	0.96676644405078	0.9105260548994456	0.9076564822262365	0.9381343165497162	0.9896274086012787	0.9257202429871549
AOMNgun2	0.9473168956286904	0.9639262345598749	1.0	0.8852261161318776	0.8765108407525929	0.899653501495662	0.90278619496912	0.9007664500723317	0.9020396352852978	0.8611219644212758	0.9793854489027848	0.922665481672259	0.9664100396463338	0.9273542896654301	0.8812523819406499	0.970894231448869	0.8999050928070425	0.8494417950166956	0.8973862616596423	0.8420731111315501	0.8356374357647239	0.9014964722906769	0.8422483908210696	0.8233418746031923	0.8871519131027019	0.8941922628711262	0.9620297476230749	0.8901012736661049	0.863566693227163	0.8671778179064401	0.979446425989692	0.9027122369951648	0.8897751032891745	0.969874336547627	0.9592592330340161	0.9083737271023502	0.9546323010726585	0.9658026104618535	0.894054348830789	0.9667522262504911	0.8925087511334667	0.9503151494434637	0.8911222640367631	0.9612934014662954	0.8556657246343854	0.9788147005383464	0.9680762045580915	0.9770292779924272	0.8965742031758024	0.8855983257677698	0.9691808684963144	0.9739450071792828	0.8882365569541087
APBMumfu1	0.8569941127575555	0.8833177406207694	0.8852261161318776	1.0	0.8894986191975687	0.9105356596280463	0.8326485862002001	0.9189135035204249	0.9884449265782873	0.8220995797968058	0.861951803764907	0.8605518091224215	0.857663938018366	0.884623274310334	0.8327646918853185	0.8309742361512377	0.8147543342058405	0.8298187125137897	0.8197288768030152	0.8156270514823888	0.8122500184518625	0.9078555093099457	0.798503500163269	0.8048922563101937	0.8356801847321087	0.961510595990549	0.8288903421434882	0.961134666156729	0.8273279503377341	0.8521489026681007	0.881434191443876	0.9489311545125494	0.8788885307576219	0.8346103705311717	0.8730741331391251	0.8215456491869089	0.8538822375362445	0.8476211096737511	0.9576984716347383	0.8392332470095527	0.8010930821715615	0.8848657091806091	0.9214695056292512	0.8524316896626862	0.8076115063416046	0.8339745949440552	0.8716814518131645	0.8725260390758202	0.8682674657808548	0.8306641112353474	0.8536804717880166	0.8847619862824285	0.8316560291046199
BAAMashi4	0.8917935681437063	0.9167325932510414	0.8765108407525929	0.8894986191975687	1.0	0.9604823583690962	0.863417489998235	0.9341790530932482	0.8909459629113425	0.8830359663539072	0.8813327951224127	0.9049261866610556	0.8977725647131076	0.9274292845047091	0.8937557363008396	0.8518833821925732	0.8445134894813663	0.8620474663004543	0.8467285640695837	0.8390054995927378	0.8444964278124127	0.9562180442830097	0.8574412459150116	0.8385437110903735	0.8465822563791163	0.9083218809644203	0.8327539993739925	0.8969643505659356	0.8730028395980849	0.861561046797541	0.8901750596982699	0.8925843854731187	0.9799634135221977	0.8807382527084586	0.910492595748452	0.8498883081360163	0.8944626514326026	0.8829259186838896	0.9158880828695805	0.8834762864352399	0.8392791566344664	0.8926555416923929	0.9389513064025741	0.8956800185784889	0.8710127259383529	0.8579450917410912	0.8919221589704468	0.8706971524395859	0.8780669899574263	0.889604534476766	0.8773600188263111	0.9093668257630648	0.8565210629472058
BKBMashi2	0.9089719076693414	0.9567187607054127	0.899653501495662	0.9105356596280463	0.9604823583690962	1.0	0.9105133140165784	0.9340010550152479	0.922593944079194	0.8971702439266898	0.9049094496219658	0.9583242250379225	0.9256935676003814	0.9727509336509454	0.9261084838744743	0.8638986335724484	0.8649850777274444	0.9204517246092708	0.8813883769487432	0.8672860187177428	0.8978390826686958	0.998751068542648	0.8753475463647985	0.8665576039650651	0.8858193613158769	0.9116015845649934	0.8386214246097755	0.9278820962389451	0.9011681172872477	0.9001499035992793	0.9210948598596925	0.9290696189747103	0.9581836531093865	0.8977463988954032	0.9526237838287005	0.8794227741255298	0.9248743797147688	0.9155385824893927	0.926254531593295	0.9092015633931552	0.8685167359296623	0.9362418559182569	0.9477476081352953	0.9195275335337239	0.9000770085891057	0.8833858153654711	0.9199414566073216	0.9055230330985146	0.9267216768995999	0.9221589453132069	0.8946962232818155	0.9527582912979587	0.9138082499173956
BNMKung2	0.8883371624232189	0.9305145626242052	0.90278619496912	0.8326485862002001	0.863417489998235	0.9105133140165784	1.0	0.8518517085571429	0.8408397668392292	0.9408112151819719	0.9045830185528544	0.9689205403227394	0.9611153844702297	0.95355024024328	0.9495513894473958	0.8713704398233563	0.9522898690153092	0.9611388720108203	0.9258063765542308	0.9314410136524566	0.9548400592358686	0.9121563635507892	0.9363827654929485	0.9297826553723546	0.9588797106749006	0.8193141918604617	0.8402393053667491	0.8395611137764236	0.939003210237116	0.9494176514890796	0.908925468323852	0.8573613048120484	0.8500853456686783	0.8878254494178993	0.9302594199085127	0.932137227093542	0.9678582415560384	0.8959029272563587	0.8423861551363434	0.9360995062147891	0.9638118242039954	0.8858315892023292	0.846861903768511	0.8958700541802755	0.9428029688663149	0.8844498577781323	0.884292139277127	0.8902005382163063	0.9686975161303176	0.9529511219874907	0.8867698236539211	0.9443993536946897	0.9925176173705329
CENMundabli2	0.9036421254575384	0.9032865021136224	0.9007664500723317	0.9189135035204249	0.9341790530932482	0.9340010550152479	0.8518517085571429	1.0	0.9211293839291811	0.8865755003804376	0.8893536764919544	0.8779943861301797	0.8969929351882883	0.8958372205245211	0.8927570934994045	0.892389262095252	0.8756012827071051	0.8600080946372926	0.8800760097874026	0.8598686093868949	0.8522568775126406	0.9281303477734659	0.8638795159197324	0.851914681450646	0.8681102220646599	0.9415601394686292	0.8852753624552189	0.9345001023483117	0.8956503037576651	0.8750572414993202	0.9155424033995821	0.9342164611591695	0.9153548205072262	0.8909790809103627	0.9071895415489266	0.8786793797653004	0.8988074945172081	0.9032935434275066	0.9565631584316259	0.8960959248638998	0.8585544249216144	0.8974948785117348	0.9850927813113552	0.8938825136239865	0.8782892783149677	0.8878220264046265	0.908935226083565	0.897734048062801	0.8883398624236089	0.8923175206245283	0.9071073789690579	0.9049166672440319	0.8425763822993623
DNMMumfu2	0.8796984883890708	0.9055994100101232	0.9020396352852978	0.9884449265782873	0.8909459629113425	0.922593944079194	0.8408397668392292	0.9211293839291811	1.0	0.8152590355480138	0.8853231511879219	0.8746189507582701	0.8701441089327957	0.8981509000408469	0.8367879966487651	0.8542205675583416	0.8179208311855352	0.8274013781676443	0.8307121553050223	0.7950760945569655	0.8045206959647326	0.9213246906223237	0.7906635652916318	0.7828884529038913	0.8319665603511297	0.9490017730968571	0.8509944763687928	0.9674962583673538	0.8221731842920071	0.8377769210734619	0.9029068410261127	0.9639455228855685	0.8971331657778857	0.8678948835053633	0.8960410314194989	0.8335657342280061	0.8622068715391101	0.8720714103675687	0.9476122388323814	0.853435681275633	0.8061540623622445	0.9150197106239368	0.927886720091939	0.8851989093678914	0.8043299818848274	0.861354130773249	0.8964753082327058	0.8975344110190312	0.8672811947882016	0.8325668492419104	0.8767132617391833	0.9035611933601186	0.8396285239508124
DPNFang13	0.8593142042828019	0.8775432042460103	0.8611219644212758	0.8220995797968058	0.8830359663539072	0.8971702439266898	0.9408112151819719	0.8865755003804376	0.8152590355480138	1.0	0.87094322122578	0.9159559189956273	0.9347335882765982	0.9112934613878101	0.9628928346216903	0.8642117005301034	0.9507227905528673	0.9509069699398027	0.935251546612541	0.9767552223660529	0.9585344636388637	0.8924411309699282	0.9924564600548426	0.9805554831241147	0.9555698008461638	0.8439434904491298	0.8388499665804212	0.8373892894538144	0.9747852997945686	0.9663064387180246	0.8710300502884811	0.8354838522927158	0.8419540729182439	0.8565958213831688	0.9033170056622596	0.9362247456756683	0.9501478028797663	0.8793943749273091	0.8645211948393569	0.9228821845623699	0.9522711079675491	0.8182873149679638	0.8725380918943167	0.8573591006577123	0.9779143882058748	0.8485307210112277	0.8671769909072913	0.8444058307726013	0.9580605119600275	0.9650095114706724	0.8840547406919874	0.8937780273354923	0.9312845441837228
