NUMBER	ENGLISH
1	animal
2	arm
3	ashes
4	bark
5	bed
6	belly
7	big
8	bird
9	bite
10	blood
11	bone
12	breast
13	burn
14	child
15	cloud
16	come
17	count
18	die
19	dog
20	drink
21	ear
22	eat
23	egg
24	elephant
25	eye
26	face
27	fall
28	fat, oil
29	feather
30	fingernail
31	fire
32	fire-wood
33	fish
34	five
35	fly
36	four
37	give
38	goat
39	ground, soil
40	hair
41	head
42	hear
43	heart
44	horn
45	house
46	hunger
47	intestine
48	kill
49	knee
50	knife
51	know
52	leaf
53	leg
54	liver
55	louse
56	man
57	moon
58	mouth
59	name
60	navel
61	neck
62	night
63	nose
64	one
65	person
66	rain
67	road
68	root
69	salt
70	sand
71	see
72	send
73	shame
74	sing
75	skin
76	sky
77	sleep
78	smoke
79	snake
80	spear
81	steal
82	stone
83	sun
84	tail
85	ten
86	three
87	tongue
88	tooth
89	tree
90	two
91	urine
92	village
93	vomit
94	walk
95	war
96	water
97	wind
98	woman
99	dew
100	iron
